,instance_info,n_variables,qaoa_depth,1q_gates,2q_gates,runtime,execution_time,eps
0,uf20-01.cnf,20,1,223,3504,10.986740941007156,0.0007739342222222244,5.899809608398637e-10
1,uf20-02.cnf,20,1,187,3415,2.8031399010214955,0.0006224960000000028,5.539313633272067e-07
2,uf20-03.cnf,20,1,242,3380,2.8576889879768714,0.0006654400000000016,6.393404172777479e-09
3,uf20-04.cnf,20,1,218,3522,5.466832373989746,0.0006779982222222264,1.4855303789770425e-09
4,uf20-05.cnf,20,1,209,3486,2.673194175004028,0.000871363555555556,2.57925336739004e-10
5,uf20-06.cnf,20,1,219,3302,3.063861274975352,0.0007312391111111125,3.27295133386836e-08
6,uf20-07.cnf,20,1,194,3406,2.7592816409887746,0.0007028373333333327,2.3875966315708483e-08
7,uf20-08.cnf,20,1,233,3665,3.027411544986535,0.0006895964444444477,2.073206669344103e-09
8,uf20-09.cnf,20,1,220,3370,4.857582386001013,0.0006319253333333377,1.3859865741764629e-08
9,uf20-010.cnf,20,1,201,3713,3.642167586949654,0.0006906844444444478,2.3748127044476914e-09
10,uuf50-01.cnf,50,1,645,13254,11.14696018199902,0.0021981191111111187,1.669982231415216e-54
11,uuf50-02.cnf,50,1,644,14108,9.356647613982204,0.0022630648888888705,2.4434415571882486e-66
12,uuf50-03.cnf,50,1,643,14133,10.990958095004316,0.0030471857777777432,5.884107444336532e-61
13,uuf50-04.cnf,50,1,648,14412,13.645133665995672,0.0029222222222221837,2.575599415426081e-60
14,uuf50-05.cnf,50,1,683,13923,10.591088821995072,0.00291316266666663,3.1113445182333355e-59
15,uuf50-06.cnf,50,1,592,13926,12.830706349981483,0.0026835733333333057,6.435551300943929e-60
16,uuf50-07.cnf,50,1,685,13944,8.927488274988718,0.002331459555555518,2.669104333262705e-66
17,uuf50-08.cnf,50,1,646,14038,10.222717983007897,0.0028687324444443964,4.1092561120152175e-66
18,uuf50-09.cnf,50,1,642,13994,13.053968004998751,0.002521845333333306,4.768345353859871e-68
19,uuf50-010.cnf,50,1,639,13432,10.367214151017834,0.002570421333333303,1.5124491707570751e-56
20,uuf75-01.cnf,75,1,1026,24388,17.048736979952082,0.003956277333333229,9.15051905367828e-109
21,uuf75-02.cnf,75,1,1027,24764,16.64527633297257,0.004692874666666516,1.3602079452365364e-115
22,uuf75-03.cnf,75,1,1075,24714,16.835316532989964,0.0046315555555553715,4.448514950345801e-111
23,uuf75-04.cnf,75,1,1031,25288,17.02758182201069,0.004107175111111038,6.459609085528647e-119
24,uuf75-05.cnf,75,1,975,25151,17.310774915036745,0.00466507022222205,1.0914865135249749e-111
25,uuf75-06.cnf,75,1,1008,25381,17.166192475997377,0.004722485333333127,6.466405000290905e-119
26,uuf75-07.cnf,75,1,1062,24729,17.76839426899096,0.004648913777777587,3.015041665584181e-117
27,uuf75-08.cnf,75,1,1001,24025,16.511688878992572,0.003790815999999952,2.4568271860649636e-120
28,uuf75-09.cnf,75,1,999,24266,16.339711337001063,0.004394677333333198,1.1814360000390869e-113
29,uuf75-010.cnf,75,1,1049,24752,23.491442192986142,0.004234627555555419,7.467328988033259e-119
30,uuf100-01.cnf,100,1,1354,37507,23.762968406022992,0.006565052444444251,0.0
31,uuf100-02.cnf,100,1,1447,38037,31.20622143696528,0.006272543999999767,3.3321989161180993e-193
32,uuf100-03.cnf,100,1,1398,37862,30.37769481301075,0.007287811555555197,1.4684380597194767e-176
33,uuf100-04.cnf,100,1,1433,38777,30.904281838040333,0.006810037333333034,0.0
34,uuf100-05.cnf,100,1,1386,38578,23.257315946975723,0.006876959999999735,2.0290417705757236e-185
35,uuf100-06.cnf,100,1,1420,36458,22.874433029035572,0.006085415111111023,0.0
36,uuf100-07.cnf,100,1,1423,36391,25.08468712400645,0.006168650666666413,1.6463603519286535e-171
37,uuf100-08.cnf,100,1,1386,37648,33.157992512045894,0.00706828444444411,0.0
38,uuf100-09.cnf,100,1,1440,37554,40.177083225979004,0.006394399999999851,5.2034536857175594e-182
39,uuf100-010.cnf,100,1,1438,37915,27.88606972101843,0.0063667946666664445,9.89119947937067e-188
