,instance_type,instance_info,qaoa_depth,n_variables,runtime,execution_time,eps
0,stored,uf20-01.cnf,1,20,8.490132847015047,0.0007166471111111127,2.5839207946608596e-08
1,stored,uf20-02.cnf,1,20,2.3937735999934375,0.0006909902222222231,4.330807313080042e-08
2,stored,uf20-03.cnf,1,20,2.520081599999685,0.0006281777777777818,1.875541664670084e-07
3,stored,uf20-04.cnf,1,20,2.5573534889845178,0.0008400177777777781,9.550306362201065e-10
4,stored,uf20-05.cnf,1,20,3.081665420002537,0.0006776782222222251,1.2871080349019818e-07
5,stored,uf20-06.cnf,1,20,2.447297881997656,0.0006479964444444472,2.1019796155992206e-07
6,stored,uf20-07.cnf,1,20,2.4663424440077506,0.0006364480000000032,1.3611223194701755e-08
7,stored,uf20-08.cnf,1,20,4.2007872910180595,0.000635381333333333,2.770540094956177e-10
8,stored,uf20-09.cnf,1,20,2.3932491749874316,0.0006201208888888907,3.3617179054565863e-07
9,stored,uf20-010.cnf,1,20,2.4745304560055956,0.000719633777777781,6.821108096593315e-08
10,stored,uuf50-01.cnf,1,50,9.81558551901253,0.002201617777777779,2.2725775518746026e-57
11,stored,uuf50-02.cnf,1,50,8.357976714003598,0.002354207999999965,2.9918787816197035e-66
12,stored,uuf50-03.cnf,1,50,8.419735337025486,0.0024294648888888762,8.243628711634677e-68
13,stored,uuf50-04.cnf,1,50,10.207240467017982,0.002608878222222197,2.4928854589724477e-66
14,stored,uuf50-05.cnf,1,50,9.81236260200967,0.002504209777777751,1.0049398136978573e-57
15,stored,uuf50-06.cnf,1,50,9.978035590000218,0.002328913777777752,3.5977465696141413e-63
16,stored,uuf50-07.cnf,1,50,11.114792949025286,0.002447313777777759,3.6273548646351686e-62
17,stored,uuf50-08.cnf,1,50,10.105651104007848,0.00276594844444441,2.3913020102072376e-59
18,stored,uuf50-09.cnf,1,50,10.296782877994701,0.002750986666666636,1.4496298448695544e-63
19,stored,uuf50-010.cnf,1,50,9.602379037998617,0.00226828444444444,2.0189993897201337e-57
20,stored,uuf75-01.cnf,1,75,14.38693459299975,0.004471100444444276,2.945631327809441e-109
21,stored,uuf75-02.cnf,1,75,14.73020130500663,0.004481006222222085,6.95420008682712e-119
22,stored,uuf75-03.cnf,1,75,18.676976766000735,0.0043017777777776415,1.1963938809371346e-118
23,stored,uuf75-04.cnf,1,75,14.781926411989843,0.004434478222222079,1.3271118012751262e-117
24,stored,uuf75-05.cnf,1,75,14.435387831996195,0.0040951217777776775,1.831112481325624e-112
25,stored,uuf75-06.cnf,1,75,15.010452414979227,0.004469607111110972,1.1225616872634284e-125
26,stored,uuf75-07.cnf,1,75,15.562883654987672,0.005125073777777575,6.369056831343668e-113
27,stored,uuf75-08.cnf,1,75,16.602895106974756,0.003962222222222143,2.556727440583304e-116
28,stored,uuf75-09.cnf,1,75,15.385962182015646,0.004560330666666487,1.9469388610832793e-112
29,stored,uuf75-010.cnf,1,75,21.837218072003452,0.004279477333333243,1.835047092701537e-115
30,stored,uuf100-01.cnf,1,100,28.587469950987725,0.006964959999999646,5.016727969415264e-176
31,stored,uuf100-02.cnf,1,100,22.415350772003876,0.006537511111110982,0.0
32,stored,uuf100-03.cnf,1,100,29.300804619997507,0.006777240888888596,9.76793971395254e-177
33,stored,uuf100-04.cnf,1,100,29.22631335799815,0.006717607111110882,5.829504933286752e-191
34,stored,uuf100-05.cnf,1,100,21.828832598985173,0.006563381333333128,1.6437699063889673e-183
35,stored,uuf100-06.cnf,1,100,22.579812778014457,0.0065767359999997525,0.0
36,stored,uuf100-07.cnf,1,100,24.499362482019933,0.005848423111111008,2.424841331483147e-187
37,stored,uuf100-08.cnf,1,100,23.998193081002682,0.006436334222221989,1.0829042682324944e-180
38,stored,uuf100-09.cnf,1,100,22.15650605398696,0.006665048888888621,0.0
39,stored,uuf100-010.cnf,1,100,21.858027284004493,0.006171800888888771,3.4871504993068385e-190
