,instance_type,instance_info,n_variables,qaoa_depth,1q_gates,2q_gates,runtime,execution_time,eps
0,stored,uf20-01.cnf,20,1,210,3550,8.446667921030894,0.00077975111111111,4.2566916893797535e-09
1,stored,uf20-02.cnf,20,1,204,3460,2.7198940569651313,0.0006696568888888908,2.068668725821119e-08
2,stored,uf20-03.cnf,20,1,240,3357,2.7425614380044863,0.000643914666666669,3.3486707851531205e-07
3,stored,uf20-04.cnf,20,1,214,3614,4.011522929009516,0.0005977066666666699,1.6255725006121772e-07
4,stored,uf20-05.cnf,20,1,223,3381,2.6773660450126044,0.0008106631111111128,2.7718673254498835e-09
5,stored,uf20-06.cnf,20,1,212,3419,2.685389236023184,0.0007179697777777767,8.101720012889264e-09
6,stored,uf20-07.cnf,20,1,213,3291,2.6392074770410545,0.0006734257777777761,5.601824283903398e-09
7,stored,uf20-08.cnf,20,1,255,3509,2.8394452019711025,0.00084304711111111,2.8150326706991653e-10
8,stored,uf20-09.cnf,20,1,227,3466,2.7850563759566285,0.0005568391111111121,9.91108851884642e-10
9,stored,uf20-010.cnf,20,1,227,3572,2.8851918220170774,0.0007722275555555583,5.635924954460435e-09
10,stored,uuf50-01.cnf,50,1,615,13737,10.429645672033075,0.0028508906666666407,1.1732010699240954e-55
11,stored,uuf50-02.cnf,50,1,623,14022,9.472031833021902,0.002272174222222195,2.8898170219556736e-67
12,stored,uuf50-03.cnf,50,1,673,13859,10.677424789988436,0.002415171555555527,5.601002347669661e-65
13,stored,uuf50-04.cnf,50,1,680,14151,10.703853520040866,0.0024012906666666454,1.2729300431502524e-64
14,stored,uuf50-05.cnf,50,1,664,14069,10.652701564948075,0.0025381013333333224,1.6262519610601678e-64
15,stored,uuf50-06.cnf,50,1,658,13708,9.389777529984713,0.0029059875555555027,2.223806574921237e-62
16,stored,uuf50-07.cnf,50,1,645,14168,9.609281881013885,0.002888622222222146,1.8342013230696034e-62
17,stored,uuf50-08.cnf,50,1,654,14082,10.723632576991804,0.0023743964444444443,4.160178071162759e-62
18,stored,uuf50-09.cnf,50,1,623,14070,13.462145477999002,0.0026989831111110837,5.803116504920775e-60
19,stored,uuf50-010.cnf,50,1,641,13608,10.414275432005525,0.0028191182222221853,7.258754025644561e-62
20,stored,uuf75-01.cnf,75,1,1053,24624,17.251818067976274,0.0048100942222220455,0.0
21,stored,uuf75-02.cnf,75,1,1079,24651,17.22377174597932,0.004730108444444222,1.8062450380249112e-112
22,stored,uuf75-03.cnf,75,1,1071,24786,17.44244528800482,0.004780412444444267,4.5563454554702654e-113
23,stored,uuf75-04.cnf,75,1,1076,25134,18.66264321503695,0.004143697777777713,3.777665095940852e-120
24,stored,uuf75-05.cnf,75,1,1018,24397,21.79222684400156,0.004150446222222123,4.07520399172094e-117
25,stored,uuf75-06.cnf,75,1,1024,25311,17.501442404987756,0.004228078222222144,1.8721135418524104e-125
26,stored,uuf75-07.cnf,75,1,980,24635,18.368313765036874,0.004557820444444273,4.943410791694515e-111
27,stored,uuf75-08.cnf,75,1,1016,24102,16.826248860976193,0.004392906666666497,6.690918866920541e-110
28,stored,uuf75-09.cnf,75,1,1002,24548,17.081313186034095,0.004987843555555376,1.1617330727708853e-115
29,stored,uuf75-010.cnf,75,1,1051,24725,22.26753779494902,0.0039196124444443895,1.2601777053185277e-120
30,stored,uuf100-01.cnf,100,1,1382,37888,32.325663848023396,0.0062941546666665325,3.584991133095722e-186
31,stored,uuf100-02.cnf,100,1,1429,37412,24.825019815994892,0.006885187555555254,1.7363751925979598e-179
32,stored,uuf100-03.cnf,100,1,1417,37706,33.57214495301014,0.0068543822222218165,0.0
33,stored,uuf100-04.cnf,100,1,1479,38681,25.603018959984183,0.00616857955555538,2.890935088125632e-190
34,stored,uuf100-05.cnf,100,1,1396,38337,26.479012259980664,0.006564860444444284,0.0
35,stored,uuf100-06.cnf,100,1,1475,36676,32.8365483119851,0.006484632888888604,3.749930034145642e-182
36,stored,uuf100-07.cnf,100,1,1395,37083,25.68464661797043,0.006546421333333056,0.0
37,stored,uuf100-08.cnf,100,1,1373,37121,24.697951991984155,0.006803573333333024,4.360462237283864e-177
38,stored,uuf100-09.cnf,100,1,1451,37720,24.87448585301172,0.006656536888888657,6.111791143398103e-187
39,stored,uuf100-010.cnf,100,1,1407,37495,24.876724969013594,0.006299687111110977,0.0
